minsize,maxsize,error
0,10,2.173031238842245
10,20,1.1165490671590081
20,30,0.8362109815000681
30,40,0.6907291472419496
40,50,0.8184771502362942
50,60,0.7063687379880386
60,70,0.5981853975258901
70,80,0.5109594761450531
80,90,0.47087349253657357
90,100,0.3674086475568522
100,110,0.31301981197596257
110,120,0.4733361793677348
120,130,0.5158935078478114
130,140,0.44597337643736495
140,150,0.3706765707994484
150,160,0.3208535499896447
160,170,0.27509397955992365
170,180,0.28287295044947774
180,190,0.2781407497586954
190,200,0.2571271309483149
200,210,0.3544850770289682
210,220,0.3429473369668868
220,230,0.33640681228322367
230,240,0.3379284680955206
240,250,0.3387476936133876
250,260,0.3293488127018674
260,270,0.28225067818294874
270,280,0.28369912641020506
280,290,0.2782848840806555
290,300,0.2372564521405531
300,310,0.22335385285805343
310,320,0.2239758289683594
320,330,0.2234120743451596
330,340,0.1855485202815241
340,350,0.1550409275448678
350,360,0.15500614162480073
360,370,0.15501608045910562
370,380,0.15505583579632515
380,390,0.15505583579632515
390,400,0.15681636733180904
400,410,0.1520701541870335
410,420,0.1460231992376951
420,430,0.14201849578840142
430,440,0.13243550232815465
440,450,0.13243550232815465
450,460,0.14116009112049685
460,470,0.17169615189369453
470,480,0.19408992051051524
480,490,0.2985941740556786
490,500,0.2985941740556786
500,510,0.2985941740556786
510,520,0.2985941740556786
520,530,0.29859417405567856
