prediction-dt,model-paths,number-of-targeted,positive-rate,negative-rate,threshold-positive,threshold-negative,first-ts,last-ts,number-segments
2020-01-08,15/20191211,2239,422/423,1816/1816,0.9455041916498401,0.10381390129891797,2019-11-25 06:30:00.0,2020-01-04 11:45:00.0,3
2020-01-08,15/20191211,4207,667/668,1816/1816,0.9455041916498401,0.10381390129891797,2019-11-25 06:30:00.0,2020-01-08 15:45:00.0,4
2020-01-15,15/20191211,4872,667/668,1816/1816,0.9455041916498401,0.10381390129891797,2019-11-25 06:30:00.0,2020-01-15 10:30:00.0,4
2020-01-23,15/20191211,5270,667/668,1816/1816,0.9455041916498401,0.10381390129891797,2019-11-25 06:30:00,2020-01-22 21:45:00,4
2020-05-18,15/20200512233121-15/20200513084851,942,479/479,463/463,0.5,0.5,2020-05-07 21:30:00,2020-05-18 00:30:00,5
2020-05-22,15/20200512233121-15/20200513084851,1341,605/605,736/736,0.5,0.5,2020-05-07 21:30:00,2020-05-22 00:30:00,4
2020-05-25,15/20200512233121-15/20200513084851,1650,605/605,1045/1045,0.5,0.5,2020-05-07 21:30:00,2020-05-25 10:30:00,4
2020-05-26,15/20200512233121-15/20200513084851,1693,605/605,1088/1088,0.5,0.5,2020-05-07 21:30:00,2020-05-26 00:15:00,4
2020-05-26,15/20200512233121-15/20200513084851,1778,690/690,1088/1088,0.5,0.5,2020-05-07 21:30:00,2020-05-26 16:30:00,5
2020-06-02,15/20200512233121-15/20200513084851,2416,2037/2037,379/379,0.5,0.5,2020-05-07 21:30:00,2020-06-02 21:00:00,3
